,element_type,osmid,highway,geometry,addr:city,building,addr:country,addr:district,addr:district:en,addr:housenumber,addr:postcode,addr:province,addr:province:en,addr:street,addr:street:en,addr:subdistrict,addr:subdistrict:en,addr:housename,construction,nodes,name,name:ar,name:en,oneway,alt_name,alt_name:en,junction,country,diplomatic,embassy,name:fr,office,target,building:levels,height,foot,access,amenity,healthcare,source,religion,note,building_1,layer,tunnel,bridge,lanes,maxspeed,note:en,brand,brand:wikidata,brand:wikipedia,shop,phone,website,contact:facebook,contact:instagram,contact:whatsapp,email,healthcare:speciality,brand:ar,brand:en,cuisine,opening_hours,takeaway
16,way,29204293,residential,"LINESTRING (31.1918798 30.0514014, 31.1927093 30.0514918, 31.1931467 30.0515473, 31.1933599 30.0515647, 31.1935082 30.0515565, 31.1935966 30.051565, 31.1945956 30.0516846, 31.1950873 30.0517434, 31.1952045 30.0517401, 31.1953179 30.0517138, 31.1954214 30.051666)",,,,,,,,,,,,,,,,"[6805138260, 321232045, 6805138257, 6805138256, 6805138258, 6805138259, 6805138255, 6805138279, 6805139392, 6805138261, 512222309]",شارع عدن,شارع عدن,Adan Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,way,29204443,residential,"LINESTRING (31.1989776 30.0536174, 31.1994542 30.05365, 31.1997647 30.0536748, 31.2001016 30.0537017, 31.2003861 30.0537191, 31.2004302 30.0537145, 31.2004744 30.0537042)",,,,,,,,,,,,,,,,"[321232467, 614404197, 614404398, 614404321, 6780996257, 6780996245, 321232656]",شارع صلاح الدين,شارع صلاح الدين,Salah Al Din Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,way,29204449,residential,"LINESTRING (31.2003923 30.0531902, 31.2003881 30.0533742, 31.200418 30.0535563, 31.2004744 30.0537042, 31.2005577 30.0538699, 31.2006548 30.0539977, 31.2007707 30.0541133, 31.2009032 30.0542144, 31.2010916 30.0543192, 31.2012977 30.054395, 31.2015156 30.0544398)",,,,,,,,,,,,,,,,"[3816918251, 6455430269, 2298901400, 321232656, 6455430272, 321232786, 6455430271, 321233107, 6455430270, 321232787, 3812606389]",شارع عمرو بن العاص,شارع عمرو بن العاص,Amr Ibn Al Aas Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,way,29204466,residential,"LINESTRING (31.2009032 30.0542144, 31.2008896 30.0542859, 31.2008299 30.0545982, 31.2007831 30.0548427, 31.2007409 30.0551214, 31.2006904 30.0555625)",,,,,,,,,,,,,,,,"[321233107, 6780996251, 614404205, 614404330, 614404127, 321233119]",شارع عثمان بن عفان,شارع عثمان بن عفان,Othman Ibn Affan Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,way,31766771,residential,"LINESTRING (31.202344 30.0567686, 31.2023453 30.0569229, 31.2023239 30.057082, 31.2023145 30.0572607, 31.2023058 30.057396, 31.202255 30.0578827, 31.2021669 30.0585086, 31.2021533 30.0586097, 31.2020937 30.0590286, 31.2020822 30.0591105, 31.2020311 30.0594733, 31.2020193 30.0595576, 31.2019682 30.0599207, 31.2019581 30.0599922, 31.2019005 30.0604016)",,,,,,,,,,,,,,,,"[6455794342, 6780959770, 6780959771, 6780959769, 3812641774, 3812641776, 3812606439, 6456086728, 355601620, 6456173374, 3812641778, 6456173378, 3812641780, 6456173376, 6469599678]",شارع محمود بدر الدين,شارع محمود بدر الدين,Mahmoud Badr Al Din Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,way,32129704,residential,"LINESTRING (31.1992216 30.0558366, 31.1987563 30.0561836, 31.1983263 30.0564686, 31.1978391 30.0568126, 31.197223 30.0572475)",,,,,,,,,,,,,,,,"[360667474, 360670723, 360670442, 360670985, 3818971994]",شارع الفلاح,شارع الفلاح,Al Falah Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,way,32129915,residential,"LINESTRING (31.201091 30.0575321, 31.2003651 30.0574366, 31.2001787 30.057418, 31.1999943 30.0573873, 31.1997936 30.0573416, 31.1996772 30.0573045, 31.1995442 30.0572574, 31.1994144 30.0572039, 31.1993594 30.0571933, 31.19931 30.05717, 31.19927 30.0571357, 31.1990637 30.0570269, 31.1988663 30.0569064, 31.1986788 30.0567746, 31.198502 30.0566322, 31.1983263 30.0564686)",,,,,,,,,,,,,,,,"[3812606436, 360670719, 6780996220, 6455794308, 2760431483, 360670434, 6780996219, 6464353569, 6781078561, 6781078560, 360670914, 6462336898, 6462336899, 6780996221, 6780996222, 360670442]",شارع محمد شفيق,شارع محمد شفيق,Mohamed Shafik Street,,شارع مساكن المهن الهندسيه,Masaken Al Mahn Al Handasia Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,way,32129951,residential,"LINESTRING (31.2003651 30.0574366, 31.2004168 30.0569688, 31.2004725 30.0564726)",,,,,,,,,,,,,,,,"[360670719, 360670800, 360670701]",شارع شهداء المهندسين,شارع شهداء المهندسين,Shohada' Al Mouhandesin Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,way,32129968,residential,"LINESTRING (31.1987563 30.0561836, 31.198946 30.0563507, 31.1991294 30.0564969, 31.1993359 30.0566182, 31.1995239 30.056731, 31.1996685 30.0567945, 31.1999103 30.0568735, 31.2001594 30.0569226, 31.2004168 30.0569688)",,,,,,,,,,,,,,,,"[360670723, 360670796, 6464353567, 360670797, 360670911, 6464353570, 6455794307, 360670799, 360670800]",شارع سيد عبد الواحد,شارع سيد عبد الواحد,Sayed Abd Al Wahed Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,way,32129983,residential,"LINESTRING (31.1992641 30.0572872, 31.1992216 30.057453, 31.1991833 30.0576203, 31.1991379 30.0579027, 31.1991119 30.0581872)",,,,,,,,,,,,,,,,"[6464353568, 360670941, 360670961, 360670943, 3818971999]",شارع عبد القوى احمد,شارع عبد القوى احمد,Abd Al Qawi Ahmed Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,way,32129993,residential,"LINESTRING (31.1978391 30.0568126, 31.1979453 30.0569472, 31.1980465 30.0570579, 31.198158 30.057161, 31.1982789 30.0572557, 31.1984085 30.0573414, 31.1984889 30.0573875, 31.1986181 30.0574521, 31.1987527 30.0575079, 31.1988918 30.0575548, 31.1990346 30.0575924, 31.1991833 30.0576203)",,,,,,,,,,,,,,,,"[360670985, 6464835846, 6780996208, 6780996209, 6781078563, 6462336900, 6465310930, 6462336902, 6781078562, 6780996210, 6462336901, 360670961]",شارع ابراهيم عثمان,شارع ابراهيم عثمان,Ibrahim Othman Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,way,32177502,residential,"LINESTRING (31.194929 30.0461389, 31.1948702 30.0461837, 31.194511 30.0464061, 31.194115 30.0465521, 31.1938092 30.0466032, 31.1936027 30.0466148, 31.1933908 30.0466102, 31.1930051 30.0465623)",,,,,,,,,,,,,,,,"[34812320, 3816918248, 361027012, 361027013, 6462477361, 361027014, 361027015, 361026997]",شارع الكوثر,شارع الكوثر,Al Kawthar Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,way,32177515,residential,"LINESTRING (31.1960449 30.0473508, 31.1959742 30.0473959, 31.1957026 30.0475832, 31.195213 30.0479165, 31.195044 30.0480245, 31.1948637 30.0481179, 31.1946738 30.0481957, 31.1944762 30.0482573, 31.1942725 30.048302, 31.1940649 30.0483295, 31.1938551 30.0483395, 31.1936452 30.0483319, 31.1934372 30.0483068, 31.1926001 30.0481865)",,,,,,,,,,,,,,,,"[361027103, 3816918247, 361028583, 361027190, 361027115, 361027116, 6462477383, 8338478111, 8338478110, 361027117, 8338478109, 8338478108, 321232117, 361027108]",شارع الفرات,شارع الفرات,Al Ferat Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,way,32177750,residential,"LINESTRING (31.1976421 30.0520022, 31.1977315 30.0517423, 31.1977933 30.0516088, 31.1978647 30.0514789, 31.1979455 30.0513532, 31.1981201 30.0511316)",,,,,,,,,,,,,,,,"[361027431, 6464353550, 361027447, 6769505161, 6464353545, 361027448]",ميدان الحجاز,ميدان الحجاز,Al Hegaz Square,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,way,32178011,residential,"LINESTRING (31.1940124 30.0495863, 31.1940435 30.0496139, 31.1940612 30.0496492, 31.1940632 30.0496877, 31.1940491 30.0497243, 31.194021 30.0497542, 31.1940035 30.0497649, 31.193956 30.0497788, 31.1939061 30.049775, 31.1938515 30.0497457, 31.1938215 30.0496965, 31.1938242 30.049641, 31.193846 30.049606, 31.1938811 30.0495803, 31.1939247 30.0495677, 31.1939706 30.0495697, 31.1940124 30.0495863)",,,,,,,,,,,,,,,,"[361027686, 6462477374, 361027687, 6462477370, 6465236100, 6805139389, 361027690, 6462477376, 321217411, 361027691, 361027692, 6462477377, 361027693, 6462477373, 361027695, 6462477372, 361027686]",ميدان انس بن مالك,ميدان انس بن مالك,Anas Ibn Malek Square,yes,,,roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,way,32178093,residential,"LINESTRING (31.1938242 30.049641, 31.1931579 30.0495502)",,,,,,,,,,,,,,,,"[6462477377, 361027747]",شارع العراق,شارع العراق,Iraq Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,way,32178184,residential,"LINESTRING (31.1959141 30.0486895, 31.1952795 30.0491221)",,,,,,,,,,,,,,,,"[361027852, 361028004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,way,32178219,residential,"LINESTRING (31.1953531 30.0491953, 31.1951674 30.0494169, 31.1946537 30.0500283)",,,,,,,,,,,,,,,,"[6462477380, 361027872, 361027946]",شارع عمر بن عبد العزيز,شارع عمر بن عبد العزيز,Omar Ibn Abd Al Aziz Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,way,32178316,residential,"LINESTRING (31.1945956 30.0516846, 31.1946595 30.0514126, 31.1947333 30.0512083, 31.1948799 30.0508072, 31.1949572 30.0506372, 31.195187 30.050288, 31.1952131 30.0502483, 31.1956666 30.0496412, 31.1956895 30.0496098, 31.1957006 30.0495739, 31.1956894 30.0495298, 31.1954696 30.0493112, 31.1953531 30.0491953, 31.1952795 30.0491221, 31.1950336 30.0488774, 31.1949958 30.0488565, 31.1949528 30.0488454, 31.1949079 30.048845, 31.1948638 30.0488532, 31.1946084 30.0489243, 31.1943473 30.0489774, 31.1940821 30.0490121, 31.1938145 30.0490283, 31.1935463 30.0490257, 31.1932792 30.0490045)",,,,,,,,,,,,,,,,"[6805138255, 6805138277, 6464835829, 6464835831, 6805138276, 10723680363, 6805138281, 6805138275, 6805138274, 6805138272, 6805138273, 6462477379, 6462477380, 361028004, 6805138271, 6805138270, 6805138268, 6805138267, 6805138269, 6805138266, 6805138265, 6805138264, 6805138263, 6805138262, 361028032]",شارع انس بن مالك,شارع انس بن مالك,Anas Ibn Malek Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,way,32178573,residential,"LINESTRING (31.1972961 30.0493185, 31.1969883 30.0489833, 31.1957026 30.0475832)",,,,,,,,,,,,,,,,"[361028557, 10594603149, 361028583]",شارع الفتح,شارع الفتح,Al Fath Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,way,32180205,residential,"LINESTRING (31.197343 30.0502695, 31.1971469 30.0504348, 31.1969668 30.0506132, 31.1968039 30.0508036, 31.1966598 30.051005, 31.196561 30.0511754, 31.1964735 30.0513503, 31.1963977 30.0515292, 31.1963338 30.0517116, 31.196282 30.0518969)",,,,,,,,,,,,,,,,"[361030006, 6769505164, 6769872378, 361030063, 361030065, 6769505163, 6780996285, 6769872379, 361030066, 361030068]",شارع رامز,شارع رامز,Ramez Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,way,32181814,residential,"LINESTRING (31.1927093 30.0514918, 31.192855 30.0508612, 31.1928911 30.0507049, 31.1929056 30.050642, 31.1931579 30.0495502, 31.1932792 30.0490045, 31.1934372 30.0483068, 31.1936228 30.0474539, 31.1936603 30.0472916, 31.1936885 30.047251, 31.1937381 30.0472243, 31.1940084 30.04717, 31.1942954 30.0471123, 31.1943309 30.0471122, 31.1943785 30.0471192, 31.1944275 30.0471431, 31.1944704 30.0471697, 31.1945912 30.0472926)",,,,,,,,,,,,,,,,"[321232045, 10579570000, 10579621071, 10756109534, 361027747, 361028032, 321232117, 361027186, 6462477366, 6462477368, 6462477367, 6805948511, 6462477365, 6462477364, 6462477363, 6462477362, 6805138253, 361027189]",شارع البصره,شارع البصره,Al Basra Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,way,38484807,,"POLYGON ((31.1934219 30.0568731, 31.1935636 30.0569463, 31.1936576 30.0568014, 31.1935111 30.0567202, 31.1934219 30.0568731))",,yes,,,,,,,,,,,,,,"[455020598, 455020599, 455020600, 455020601, 455020598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,way,38484808,,"POLYGON ((31.1932738 30.056639, 31.1932085 30.0567696, 31.1933423 30.056838, 31.1934076 30.0567106, 31.1932738 30.056639))",,yes,,,,,,,,,,,,,,"[455020602, 455020603, 455020604, 455020605, 455020602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,way,38484809,,"POLYGON ((31.1930524 30.056752, 31.1931766 30.0567552, 31.1931782 30.0566183, 31.193054 30.0566198, 31.1930524 30.056752))",,yes,,,,,,,,,,,,,,"[455020606, 455020607, 455020608, 455020609, 455020606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,way,38484810,,"POLYGON ((31.192753 30.0567441, 31.1929186 30.0567441, 31.192925 30.0565705, 31.1927594 30.0565673, 31.192753 30.0567441))",,yes,,,,,,,,,,,,,,"[455020610, 455020611, 455020612, 455020613, 455020610]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,way,38484811,,"POLYGON ((31.192696 30.0567077, 31.1926957 30.0565322, 31.1926616 30.056496, 31.192519 30.0564701, 31.1925128 30.0565828, 31.1925641 30.0567088, 31.192696 30.0567077))",,yes,,,,,,,,,,,,,,"[455020614, 455020615, 455020616, 455020617, 455020618, 455020619, 455020614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,way,38484812,,"POLYGON ((31.1922131 30.0566276, 31.1923993 30.05666, 31.1924438 30.0564683, 31.1922576 30.0564359, 31.1922131 30.0566276))",,yes,,,,,,,,,,,,,,"[455020620, 455020621, 455020622, 455020623, 455020620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,way,38484814,,"POLYGON ((31.1917479 30.0565723, 31.1919677 30.0565771, 31.1919677 30.0564035, 31.1917511 30.0563988, 31.1917479 30.0565723))",,yes,,,,,,,,,,,,,,"[455020624, 455020625, 455020626, 455020627, 455020624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,way,38484815,,"POLYGON ((31.1947488 30.0552871, 31.1946891 30.0551495, 31.1949131 30.0550768, 31.1949727 30.0552145, 31.1947488 30.0552871))",,yes,EG,العجوزه,Al Agouza,7,12657,الجيزه,Giza,شارع النقيب فوزي الرماح,Al Nakib Fawzi Al Remah Street,ميت عقبه,Mit Okba,,,"[6790808028, 455020629, 455020630, 455020631, 6790808028]",سفارة الكنغو,سفارة الكنغو,Embassy of Congo,,,,,CG,embassy,yes,Ambassade du Congo,diplomatic,EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,way,38484817,,"POLYGON ((31.1950817 30.0552298, 31.1953523 30.0551501, 31.1952761 30.0549801, 31.1950908 30.0550283, 31.1950565 30.05515, 31.1950817 30.0552298))",,apartments,EG,العجوزه,Al Agouza,50,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808042, 455020633, 455020635, 455020637, 455020639, 6790808042]",,,,,,,,,,,,,,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,way,38484818,,"POLYGON ((31.1945902 30.054972, 31.1946427 30.0550134, 31.1947847 30.0549791, 31.1947271 30.0547601, 31.194544 30.0547941, 31.1945902 30.054972))",,yes,EG,العجوزه,Al Agouza,20,12657,الجيزه,Giza,شارع خان يونس,Khan Younis Street,ميت عقبه,Mit Okba,,,"[6790807998, 9159431108, 455020642, 455020643, 455020644, 6790807998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
